reaction_id,reactant_combination,response equation,*,*CCO,*CH2C,*CH2CH,*CH2CH2O,*CH2CH2OH,*CH2CHOH,*CH2CO,*CH2COH,*CH2OCH2OH,*CH2OCOH,*CH2OHCH2,*CH2OHCH2O,*CH2OHCOH,*CHCO,*CHO,*CHOCH2O,*CHOCH2OH,*CHOCHO,*CHOCHOH,*CHOCOH,*CHOHCH2,*CHOHCH2O,*CHOHCH2OH,*CHOHCHOH,*CHOHCOH,*CO,*CO2,*COCH2OH,*COCHO,*COCHOH,*COCO,*COCOH,*COH,*COHCH2O,*COHCH2OH,*COHCHO,*COHCHOH,*COHCO,*COHCOH,*COOH,CH2CH2,CH2OHCH2OH,CH3CH2OH,CO2,free_energy,Delta_G (eV)
REACT_001,*+CO2,CO2 + * -> *CO2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0264,0.0264
REACT_002,*CO2,*CO2 + H+ + e- -> *COOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0926,2.0926
REACT_003,*COOH,*COOH + H+ + e- -> *CO + H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1.5627,586.96
REACT_004,*CO,*CO + H+ + e- -> *CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2087,1.2087
REACT_005,*CO+*CO,*CO + *CO -> *COCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,550.7292,550.7292
REACT_006,*CHO+*CO,*CO + *CHO -> *COCHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.9459,558.9459
REACT_007,*CO+*COH,*CO + *COH -> *COHCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,-16.6655,-16.6655
REACT_008,*CHO+*CHO,*CHO + *CHO -> *CHOCHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557.5119,557.5119
REACT_009,*COH+*COH,*COH + *COH -> *COHCOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-594.7351,-594.7351
REACT_010,*CHO+*COH,*COH + *CHO -> *COHCHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,-17.8065,-17.8065
REACT_011,*COCO,*COCO + H+ + e- -> *COCHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4254,9.4254
REACT_012,*COCHO,*COCHO + H+ + e- -> *CHOCHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2253,-0.2253
REACT_013,*COHCHO,*COHCHO + H+ + e- -> *COHCHOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-0.3623,-0.3623
REACT_014,*COHCHO,*COHCHO + H+ + e- -> *COHCH2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-0.6508,597.6285
